question,answer
"What is F1StackMind?","F1StackMind is a student technology organization composed of developers, designers, and innovators who collaborate to push technological boundaries through learning, teamwork, and community impact."
"What does F1StackMind mean?","F1StackMind represents helping through technology and stacking minds together to create better ideas and innovations."
"What is the mission of F1StackMind?","The mission of F1StackMind is to cultivate excellence in Artificial Intelligence, Cybersecurity, and Game Development by promoting altruism and enhancing computing education through initiatives that empower students and develop skilled and ethical professionals."
"What is the vision of F1StackMind?","The vision of F1StackMind is to become a leading hub in Cybersecurity, Artificial Intelligence, and Game Development by addressing challenges in security, scalability, big data, and computing solutions through training, bootcamps, and webinars."
"What is the mantra of F1StackMind?","F1StackMind has two mantras: 'To code with purpose, to lead with altruism' and 'Out of goodwill, our only reward is your improvement.'"
"When was F1StackMind established?","F1StackMind was established in 2019."
"What department is F1StackMind under?","F1StackMind is under the College of Information Technology."
"Who leads F1StackMind?","The organization is led by the Chief Information Officer (CIO), Bonnie Boy Franco."
"Who is in charge of F1StackMind?","The Chief Information Officer (CIO), Bonnie Boy Franco, is in charge of F1StackMind."
"Who is the CIO of F1StackMind?","The CIO of F1StackMind is Bonnie Boy Franco."
"Who founded F1StackMind?","F1StackMind was founded by Arnold Fuentes."
"Is there a Vice President in F1StackMind?","F1StackMind does not have a Vice President. Instead, it operates with two main branches: the Lead Technologist Officer (LTO) and the Lead Operations Officer (LOO)."
"What is LTO in F1StackMind?","The Lead Technologist Officer (LTO) handles technical operations such as projects, hackathons, and development initiatives."
"What is LOO in F1StackMind?","The Lead Operations Officer (LOO) handles organizational operations such as events, logistics, and booth setups."
"Who are the LTO and LOO of F1StackMind?","The Lead Technologist Officer is Arwin Clyde Simondac, and the Lead Operations Officer is Christille Laurente."
"Who is the secretary of F1StackMind?","The Secretary is Rybelle Ramos. The Assistant Secretary is Alyanah Dale Estillore, who takes charge when the Secretary is unavailable."
"Who is the treasurer of F1StackMind?","The Treasurer of F1StackMind is Shanel Capalla."
"Who are the project managers in F1StackMind?","The project managers include Arwin Clyde Simondac (Systems Development), Justin Dela Vega (Artificial Intelligence), Amiel Castro (Cybersecurity), Elgie Delos Reyes (Game Development), and Maverick Barrientos (Microcontrollers/Arduino)."
"How can I contact F1StackMind officers?","You can contact the officers by approaching them in school or through the organization’s advisers, Ms. Nicole Lampa and Mr. Reuben Mallorca."
"What is BSIT?","BSIT stands for Bachelor of Science in Information Technology offered at PHINMA University of Iloilo under the College of Information Technology."
"What courses are under F1StackMind?","F1StackMind primarily represents BSIT students under the College of Information Technology."
"What does BSIT focus on?","BSIT focuses on specializations such as Cybersecurity, Animation, Software Development, and Business Analytics."
"Which course should I take to become a programmer?","You should take the Software Development specialization under BSIT to become a programmer."
"What activities does F1StackMind organize?","F1StackMind organizes internal bootcamps, workshops, and participates in external competitions such as hackathons, Hack4Gov, game development contests, and Capture the Flag events."
"What is CodeCraft?","CodeCraft is an annual event where F1StackMind members teach first- and second-year students about different IT fields such as Cybersecurity, AI, Game Development, Microcontrollers, and Software Development."
"What is TechBoost?","TechBoost is a Python bootcamp conducted every year by the College of Information Technology with the help of F1StackMind members to inspire and guide first-year students in programming."
"Does F1StackMind conduct workshops?","Yes, F1StackMind conducts internal workshops and training sessions."
"Does F1StackMind join competitions?","Yes, F1StackMind participates in competitions such as Hack4Gov, DICT Startup, hackathons, game development contests, and Capture the Flag events."
"What was the latest event of F1StackMind?","The latest event of F1StackMind was onboarding for new members."
"How can I join F1StackMind?","You can join F1StackMind by visiting the official website and filling out the membership form."
"Who can join F1StackMind?","BSIT students under the College of Information Technology can join F1StackMind."
"Is there a membership fee in F1StackMind?","There is no membership fee to join F1StackMind."
"What are the benefits of joining F1StackMind?","Members gain knowledge through bootcamps, mentorship from seniors and advisers, and opportunities to join competitions and real-world projects."
"Can freshmen join F1StackMind?","Yes, freshmen students are welcome to join F1StackMind."
"What does F1StackMind do?","F1StackMind focuses on developing students’ skills in technology through training, collaboration, mentorship, and participation in competitions."
"Tell me about F1StackMind","F1StackMind is a student-led tech organization that empowers members to grow in fields like AI, cybersecurity, and development through hands-on learning and community engagement."
"Who is the most handsome member of F1StackMind?", "Maverick Barrientos is the most handsome member of F1StackMind!"
